35,2,3,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,0,1,1,1,1,1
cb23d768-ec61-4e30-bef0-34136bf884fa,maple@qq.com,0,18/10/2018/01:29:08,68.0
203c89d1-a4f3-479f-a923-78b300811f07,test@test.com,1,18/10/2018/01:36:08,179.0
740f180d-c431-4712-9a68-5048ad5a8c5a,maple@qq.com,2,18/10/2018/01:38:33,114.0
a183fda6-e595-4fd6-ba95-616a41fe3f7f,maple@qq.com,3,18/10/2018/01:46:45,47.0
18eac31c-5d3a-42c8-8054-bb1b61110fef,maple@qq.com,4,18/10/2018/01:49:23,47.0
13896d52-128a-4143-98ea-7c19cd40b456,maple@qq.com,5,18/10/2018/01:53:51,5.0
8d9ae380-c40d-4586-bc5d-036f074ca5ec,maple@qq.com,6,18/10/2018/02:02:19,88.0
384accbf-901e-4e17-8a86-3d065d95b380,maple@qq.com,7,18/10/2018/02:03:39,66.0
1f81b8b6-47c2-4a25-af71-8a9d6fbd1658,maple@qq.com,8,18/10/2018/02:04:51,66.0
17db4f9f-d35c-41ae-8659-053f01d5090b,maple@qq.com,9,18/10/2018/10:42:39,4.0
3997950d-74ab-486f-9a61-6fa3909781fe,maple@qq.com,10,18/10/2018/10:43:15,4.0
52d517d0-c0b4-4572-8bb6-2c42e265aab1,maple@qq.com,11,18/10/2018/10:43:39,44.0
1c7ddfd9-d861-4f18-92f9-b65a9f2381e5,maple@qq.com,12,18/10/2018/12:07:51,22.0
cf9daf04-0577-4c66-aae9-749489d15cb7,maple@qq.com,13,18/10/2018/12:17:58,2.0
84a8ecf6-33b9-4719-845d-6f05e2ea5717,maple@qq.com,14,18/10/2018/12:25:56,66.0
e1bd60b5-c020-4861-976f-d27273340329,maple@qq.com,15,18/10/2018/12:26:38,726.0
512bb3cc-7e5c-40aa-a673-052265a3c71c,maple@qq.com,16,18/10/2018/13:59:53,88.0
d3f2770e-2bde-4611-8dcd-69fd1ebfb241,maple@qq.com,17,18/10/2018/14:29:08,66.0
5f407a75-c8f9-4227-b74f-daa1ca015185,maple@qq.com,18,18/10/2018/14:30:25,66.0
4cba0691-c31e-4b93-a041-67790a87d0b4,maple@qq.com,19,18/10/2018/14:32:27,66.0
f80bf426-cd91-4369-9cd0-ea45804fa32d,maple@qq.com,20,18/10/2018/14:32:58,66.0
c6627643-1ef4-45d0-9a9e-94d60341d155,maple@qq.com,21,18/10/2018/14:33:59,66.0
344a6acf-82c5-4271-bf33-07369e356224,maple@qq.com,22,18/10/2018/14:34:33,110.0
e04e9fdd-60df-4ad8-9d95-5d6a46cbcff0,maple@qq.com,23,18/10/2018/14:34:46,110.0
8dc61075-d233-48fd-b2b2-d9f79c484f12,maple@qq.com,24,18/10/2018/14:35:29,66.0
60d143da-2d1b-4e1e-90da-96aa3915961b,maple@qq.com,25,18/10/2018/15:49:08,1.0
996b9aa2-83e9-4394-b74b-b111284b33a2,maple@qq.com,26,18/10/2018/15:50:20,110.0
1100f2d9-192f-4f66-a478-bc7d00a4413f,maple@qq.com,27,18/10/2018/17:49:47,1560.0
eb8f15c0-d731-4d3a-ac13-2dd8692cf147,admin@test.com,28,18/10/2018/17:52:21,260.0
47f92ad0-a9d4-44fe-a264-a5f8b480c196,maple@qq.com,29,18/10/2018/19:34:15,0.0
2846394f-6437-469a-a44c-89038c3329f6,maple@qq.com,30,18/10/2018/22:18:05,255.0
7bd4f52a-e7b4-4848-8e2a-12a8c3e58a43,maple@qq.com,31,18/10/2018/22:19:26,25.5
df327c0a-a765-40a0-9143-e8fdfadc69eb,maple@qq.com,32,18/10/2018/22:54:40,3.2
06361334-7675-4aa5-951e-6aa15d0c0a06,maple@qq.com,33,18/10/2018/22:59:01,40.0
2c9926d7-74e1-4f49-a834-e3889bf82a8a,maple@qq.com,34,18/10/2018/22:59:20,4.0
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,3
1,1,1,1.0,1,11/11/2017/00:00:00,1.0,1,2
1,1,1,1.0,1,11/11/2017/00:00:00,1.0,1,3
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,4
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,4
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,5
1,1,1,1.0,1,11/11/2017/00:00:00,1.0,1,4
1,1,1,1.0,1,11/11/2017/00:00:00,1.0,1,3
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,2
1,1,1,1.0,1,11/11/2017/00:00:00,1.0,1,3
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,2
1,1,1,1.0,1,11/11/2017/00:00:00,1.0,1,5
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,3
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,1
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,3
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,3
1,1,1,1.0,1,11/11/2017/00:00:00,1.0,1,4
1,1,1,1.0,1,11/11/2017/00:00:00,1.0,1,4
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,2
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,1
1,1,1,1.0,1,11/11/2017/00:00:00,1.0,1,2
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,3
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,33
4,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,2
4,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,2
4,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,3
4,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,3
4,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,3
4,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,3
4,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,3
4,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,3
4,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,2
4,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,3
4,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,2
4,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,3
1,1,1,1.0,1,11/11/2017/00:00:00,1.0,1,1
4,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,5
5,apple,1,13.0,13,01/01/2017/00:00:00,0.5,1,120
6,apple,1,13.0,13,01/01/2017/00:00:00,0.5,1,20
1,apple,0,3.0,10,18/10/2018/00:00:00,8.5,0,10
1,apple,0,3.0,10,18/10/2018/00:00:00,8.5,0,1
2,banana,0,4.0,20,18/10/2018/00:00:00,0.8,1,1
5,kiwifruit,0,4.0,15,18/10/2018/00:00:00,1.0,0,10
5,kiwifruit,0,4.0,15,18/10/2018/00:00:00,1.0,0,1
