9,2,3,2,2,2,1,2,1,1
cb23d768-ec61-4e30-bef0-34136bf884fa,maple@qq.com,0,18/10/2018/01:29:08,68.0
203c89d1-a4f3-479f-a923-78b300811f07,test@test.com,1,18/10/2018/01:36:08,179.0
740f180d-c431-4712-9a68-5048ad5a8c5a,maple@qq.com,2,18/10/2018/01:38:33,114.0
a183fda6-e595-4fd6-ba95-616a41fe3f7f,maple@qq.com,3,18/10/2018/01:46:45,47.0
18eac31c-5d3a-42c8-8054-bb1b61110fef,maple@qq.com,4,18/10/2018/01:49:23,47.0
13896d52-128a-4143-98ea-7c19cd40b456,maple@qq.com,5,18/10/2018/01:53:51,5.0
8d9ae380-c40d-4586-bc5d-036f074ca5ec,maple@qq.com,6,18/10/2018/02:02:19,88.0
384accbf-901e-4e17-8a86-3d065d95b380,maple@qq.com,7,18/10/2018/02:03:39,66.0
1f81b8b6-47c2-4a25-af71-8a9d6fbd1658,maple@qq.com,8,18/10/2018/02:04:51,66.0
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,3
1,1,1,1.0,1,11/11/2017/00:00:00,1.0,1,2
1,1,1,1.0,1,11/11/2017/00:00:00,1.0,1,3
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,4
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,4
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,5
1,1,1,1.0,1,11/11/2017/00:00:00,1.0,1,4
1,1,1,1.0,1,11/11/2017/00:00:00,1.0,1,3
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,2
1,1,1,1.0,1,11/11/2017/00:00:00,1.0,1,3
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,2
1,1,1,1.0,1,11/11/2017/00:00:00,1.0,1,5
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,3
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,1
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,3
2,2,2,22.0,2,11/11/2017/00:00:00,1.0,2,3
